vigencia,ID_acuerdo,fec_sanc,titulo,articulado,tema,alcalde,pre_concejo,estado_acuerdo,obs_vigencia
2013,AD-017-2013,2013-12-26,Por medio del cual se determina el nombre de las plazas del centro histórico sector la matuna y se crea la ruta de la identidad como estrategia para la revitalización del centro historico de la ciudad de cartagena de indias y se dictan otras disposiciones de carácter cultural,8,gestion de bienes y patrimonio,Dionisio Fernando Velez Trujillo,Antonio Quinto Guerra Varela,Vigente,No aplica
2014,AD-001-2014,2014-03-10,Por el cual se autoriza al alcalde mayor de cartagena de indias para efectuar cesion gratuita de un inmueble a la fiscalia general  de la nacion para la construccion de la unidad  de reaccion inmediata uri centro de servicios judiciales y fomento de la convivencia ciudadana para el distrito de cartagena,2,Cesion de predios o bienes,Dionisio Fernando Velez Trujillo,Vicente Antonio Blel Scaff,Derogado,Derogado por el acuerdo 195 de 2025
2014,AD-002-2014,2014-03-21,"Por el cual se autoriza al alcalde de cartagena para realizar una operacion de crédito público, como fuente de financiacion al programa de inversiones del plan de desarrollo ahora si cartagena",4,Operaciones de credito,Carlos Coronado Yances,Vicente Antonio Blel Scaff,Derogado,Derogado por el acuerdo 195 de 2025
2014,AD-003-2014,2014-04-09,Por medio del cual se efectua una incorporacion en el presupuesto de la vigencia fiscal 2014,3,Finanzas Publicas,Dionisio Fernando Velez Trujillo,Vicente Antonio Blel Scaff,Derogado,Derogado por el acuerdo 195 de 2025
2014,AD-004-2014,2014-05-14,Por medio del cual se efectua una incorporacion en el presupuesto de la vigencia fiscal 2014,3,Finanzas Publicas,Dionisio Fernando Velez Trujillo,Vicente Antonio Blel Scaff,Derogado,Derogado por el acuerdo 195 de 2025
2014,AD-005-2014,2014-05-14,"Por el cual se autoriza al alcalde mayor de cartagena para adquirir obligaciones que afecten los presupuestos de vigencias futuras ordinarias, tendientes a garantizar el pago de los servicios de una saciedad fiduciaria que se encargue de la administración y pago de ingresos corrientes e ingresos de capital de la administración distrital",4,Vigencias futuras,Dionisio Fernando Velez Trujillo,Vicente Antonio Blel Scaff,Derogado,Derogado por el acuerdo 195 de 2025
2014,AD-006-2014,2014-07-28,Por medio del cual se efectua una incorporacion en el presuouesto de la vigencia fiscal 2014,3,Finanzas Publicas,Dionisio Fernando Velez Trujillo,Vicente Antonio Blel Scaff,Derogado,Derogado por el acuerdo 195 de 2025
2014,AD-007-2014,2014-07-28,Por el cual se autoriza al alcalde mayor de cartagena para la asuncion de compromisos que afecten los presupuestos de vigencias futuras ordinarias para al ejecucion de los siguientes  proyectos pavimentacion de vias principales en los barrios de cartagena infraestructura educativa en colegios publicos de cartagena  mejoramiento y ampliacion de infraestructura hospitalaria de nivel 1 2 3 y otras obras de infraestructura,5,Vigencias futuras,Dionisio Fernando Velez Trujillo,Vicente Antonio Blel Scaff,Derogado,Derogado por el acuerdo 195 de 2025
2014,AD-008-2014,2014-08-01,Por medio del cual se efectua una incorporacion en el presupuesto de la vigencia fiscal 2014,3,Finanzas Publicas,Dionisio Fernando Velez Trujillo,Vicente Antonio Blel Scaff,Derogado,Derogado por el acuerdo 195 de 2025
2014,AD-009-2014,2014-08-04,Por medio del cual se faculta y autoriza al alcalde mayor de cartagena de indias para que asocie al distrito turistico y cultural de cartagena de indias en la asociacion colombiana de ciudades capitales de departamentos,2,Gestion administrativa,Dionisio Fernando Velez Trujillo,Vicente Antonio Blel Scaff,Vigente,No aplica
2014,AD-010-2014,2014-08-04,"Por el cual se reglamenta el espacio público distrital para su uso temporal y eventual, así como su aprovechamiento económico y se dictan otras disposiciones",20,Gobernanza urbana,Dionisio Fernando Velez Trujillo,Vicente Antonio Blel Scaff,Vigente,No aplica
2014,AD-011-2014,2014-08-08,Por el cual se denomina el puente pasacaballo isla baru baru,2,gestion de bienes y patrimonio,Ramon Leon Hernandez,Vicente Antonio Blel Scaff,Vigente,No aplica
2014,AD-012-2014,2014-08-08,"Por medio del cual se proclama el día distrital del comunero, se crea la orden civil al merito jose acevedo y gomez y se dictan otras disposiciones",6,Participacion,Ramon Leon Hernandez,Vicente Antonio Blel Scaff,Vigente,No aplica
2014,AD-014-2014,2014-10-15,"Por el cual se autoriza al alcalde mayor de cartagena de indias, para ceder parcialmente un lote del predio de mayor extensión identificado con la matricula inmobiliaria no. 060-12879, para la construcción del laboratorio departamental de salud",3,Cesion de predios o bienes,Dionisio Fernando Velez Trujillo,Vicente Antonio Blel Scaff,Derogado,Derogado por el acuerdo 195 de 2025
2014,AD-015-2014,2014-10-16,"por el cual se establece la instalación, mantenimiento y uso de desfibriladores automáticos o semiautomáticos externos en los centros comerciales, terminales de pasajeros aéreas, portuarias y terrestres, instituciones de educación superior publicas y privadas, plaza de toros, villa olímpica fidel carrasquilla, coliseo bernardo caraballo, coliseo chico de hierro, coliseo norton madrid, cines, teatros, centro de convenciones, centros recreacionales, hoteles, moteles y en general espacios donde exista alta afluencia de personas y se dictan otras disposiciones",5,Salud,Dionisio Fernando Velez Trujillo,Vicente Antonio Blel Scaff,Vigente,No aplica
2014,AD-016-2014,2014-11-05,Por el cual se autoriza al alcalde de cartagena para comprometer vigencias futuras ordinarias tendientes a la efectiva continuidad en la prestacion de servicios indispensables y gastos de inversion para administracion distrital en la vigencia fiscal 2014,3,Vigencias futuras,Dionisio Fernando Velez Trujillo,Vicente Antonio Blel Scaff,Vigente,No aplica
2014,AD-017-2014,2014-10-31,Por medio del cual se establece una politica publica de trabajo decente para el distrito de cartagena y se dictan otras disposiciones,8,Politica Social,Dionisio Fernando Velez Trujillo,Vicente Antonio Blel Scaff,Vigente,No aplica
2014,AD-018-2014,2014-11-05,Por el cual se conceden estimulos tributarios en impuestos de industria y comercio y predial unificado a las personas naturales y jurídicas que se establezcan en la central de abastecimiento mayorista y minorista de la ciudad de cartagena,7,Beneficios tributarios,Dionisio Fernando Velez Trujillo,Vicente Antonio Blel Scaff,Vigente,No aplica
